From,To,Length,Cost,Var
103,598,827.6900126,86.02948942,2077.196387
104,320,2267.452804,82.27353901,608.521992
104,405,619.7093779,144.9518748,742.657846
104,333,592.1145424,207.3644214,4357.417227
105,821,618.8615534,30.99600967,285.8327028
105,714,304.8576438,288.5222289,44424.11007
105,545,138.1830066,149.2745417,643.8413265
106,1192,200.9250985,20.30934253,17.41195939
106,1095,268.7515305,17.28724852,19.91026307
107,232,290.3158797,11.06486592,10.56914851
107,1216,238.0516,60.04777284,810.6367369
107,219,301.3132414,75.43361979,594.8930988
108,178,254.7836353,56.72843298,39.97109773
108,192,372.02162,333.2088071,19426.54165
109,193,234.1682854,74.2999484,753.4619618
109,207,963.8123125,80.03985025,4158.247783
109,220,670.6359917,56.57780227,889.5079069
110,708,495.6572492,29.17874191,97.04688992
110,124,230.078411,47.30634927,253.7244328
110,338,325.53111,59.78174777,177.6109136
110,1298,370.3952835,69.2985381,340.8097305
111,1869,490.4980126,59.20918665,814.1436956
111,733,812.2037884,24.36933017,46.33583268
111,1096,75.3913012,29.08597226,453.8748273
112,1279,161.9954584,21.97583767,13.03318729
112,726,324.4906359,54.43543191,190.3645245
112,1334,383.5315126,39.56032953,99.90077547
113,411,1058.0009,61.01917231,383.2989697
113,224,804.0456248,82.18721842,1812.02113
114,775,549.5478994,81.12814287,770.6825791
114,719,1085.589741,71.79086605,333.0864276
114,640,919.8431229,67.04418868,226.2927147
114,694,1640.565362,56.01675648,246.0634288
199,115,1866.193322,60.58973705,1437.072042
116,1202,372.5739333,33.2631633,113.9313741
116,1611,67.67788705,20.3397654,11.21156027
117,1016,88.70577189,192.1270273,1235.284338
117,1106,534.7818544,18.79641511,9.563783092
117,472,107.0088861,27.22001118,29.10514908
117,293,473.6901755,192.2013672,2622.437044
118,188,2179.281715,31.49428473,48.14116635
118,371,775.7273466,40.55578887,319.2095423
118,174,3154.6432,241.6663753,14050.00823
762,119,565.2138329,58.55048557,167.7452136
119,563,540.5774824,55.83180945,1255.631465
119,905,397.2930404,52.74443394,634.0555521
119,587,382.8435085,38.03611718,85.53716224
120,739,426.6868549,61.73233303,502.8299865
120,1074,294.8788977,100.0178701,1521.032146
121,177,1033.325213,54.65906906,747.7232199
121,219,97.02682425,143.4891723,2829.519171
121,258,169.5263733,135.86701,920.2677741
122,150,377.2787873,132.0135672,2596.764982
123,165,379.1506685,138.215237,4010.138903
123,193,170.884252,118.9356988,1278.2523
123,337,175.0677146,244.1182104,3158.290185
124,637,541.0916099,44.07830493,168.8612542
124,1241,491.9788734,38.5056084,129.7632191
124,886,304.3038699,30.56207176,62.23839136
125,584,399.5874423,66.24012932,524.974085
125,1229,440.0064418,105.4418453,1403.013956
125,1385,514.6940253,34.21220821,68.3171307
125,376,223.2688421,40.44340471,69.45218155
126,399,245.4249467,67.4095045,626.3828628
126,852,146.9511223,76.54030391,549.6602372
126,1362,93.60051923,87.08072664,1067.918441
126,758,1343.962194,102.880178,1082.486075
127,1299,389.1891435,142.4464843,645.6066741
127,315,1360.418285,132.8378569,520.6408422
128,1028,205.9431244,35.01708731,222.6751241
128,252,598.1445228,42.77218777,419.2989706
128,586,1152.580029,25.38016304,39.27805079
